<LINE 1>
Injongo	i[NPrePre9]-n[BPre9]-jongo[NStem]
ukusukela	u[NPrePre15]-ku[BPre15]-suk[VRoot]-el[ApplExt]-a[VerbTerm]
ekuzalweni	e[LocPre]-u[NPrePre15]-ku[BPre15]-zal[VRoot]-w[PassExt]-a[VerbTerm]-ini[LocSuf]
kwedemokhrasi	kwa[PossConc15]-i[NPrePre9]-demokhrasi[NStem]
yethu	ya[PossConc9]-ithu[PronStem1pp]
,	,[Punc]
kwaye	kwaye[Conj]
siluqhubele	si[SC1pp]-lu[OC11]-qhub[VRoot]-el[ApplExt]-e[VerbTerm]
njani	njani[Interrog]
phambili	phambili[Adv]
uphuhliso	u[NPrePre11]-lu[BPre11]-phuhliso[NStem]
loluntu	lwa[PossConc11]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
kunye	kunye[Conj]
nesidima	na[AdvPre]-i[NPrePre7]-si[BPre7]-dima[NStem]
soluntu	sa[PossConc7]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
ukusukela	u[NPrePre15]-ku[BPre15]-suk[VRoot]-el[ApplExt]-a[VerbTerm]
kwigunya	ku[LocPre]-i[NPrePre5]-li[BPre5]-gunya[NStem]
ledemokhrasi	la[PossConc5]-i[NPrePre9]-demokhrasi[NStem]
lika-2004	li[PossConc5]-ka[PossKA]-2004[Num]
!	![Punc]
<LINE 2200>
Namhlanje	namhlanje[Adv]
sinenkqubo	si[SC1pp]-na[AdvPre]-i[NPrePre9]-n[BPre9]-kqubo[NStem]
yedemokhrasi	ya[PossConc9]-i[NPrePre9]-demokhrasi[NStem]
esebenza	e[RelConc9]-sebenz[VRoot]-a[VerbTerm]
kakuhle	kaku[AdvPre]-hle[AdjStem]
,	,[Punc]
esekelwe	e[RelConc9]-sek[NeutExt]-el[ApplExt]-w[PassExt]-e[VerbTerm]
kwimithetho-siseko	ku[LocPre]-i[NPrePre4]-mi[BPre4]-thetho[NStem]-si[BPre7]-seko[NStem]
yokungafihli	ya[PossConc4]-u[NPrePre15]-ku[BPre15]-nga[Pot]-fihl[VRoot]-i[VerbTerm]
nto	n[BPre9]-to[NStem]
kunye	kunye[Conj]
nokuvuleleka	na[AdvPre]-u[NPrePre15]-ku[BPre15]-vul[VRoot]-el[ApplExt]-ek[NeutExt]-a[VerbTerm]
,	,[Punc]
enemigangatho	e[RelConc4]-na[AdvPre]-i[NPrePre4]-mi[BPre4]-gangatho[NStem]
emininzi	emi[AdjPref4]-ninzi[AdjStem]
yothabatho	ya[PossConc4]-u[NPrePre11]-lu[BPre11]-thabatho[NStem]
nxaxheba	n[BPre9]-xaxheba[NStem]
loluntu	lwa[PossConc11]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
kunye	kunye[Conj]
namaziko	na[AdvPre]-a[NPrePre6]-ma[BPre6]-ziko[NStem]
azimeleyo	a[RelConc6]-zi[ReflPre]-(i)m[VRoot]-el[ApplExt]-e[VerbTerm]-yo[RelSuf]
agunyaziswe	a[RelConc6]-gunyaz[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
nguMgaqo-siseko	ng[CopPre]-u[NPrePre3]-m[BPre3]-gaqo[NStem]-si[BPre7]-seko[NStem]
uba	u[NPrePre3]-ba[VCop]
axhase	a[RelConc6]-xhas[VRoot]-e[VerbTerm]
idemokhrasi	i[NPrePre9]-demokhrasi[NStem]
.	.[Punc]
<LINE 2201>
Kwiminyaka	ku[LocPre]-i[NPrePre4]-mi[BPre4]-nyaka[NStem]
edlulileyo	e[RelConc4]-dlul[VRoot]-ile[Perf]-yo[RelSuf]
,	,[Punc]
siye	si[SC1pp]-ye[AuxVStem]
saphucula	si[SC1pp]-a[Past]-phucul[VRoot]-a[VerbTerm]
ngokuthe	nga[AdvPre]-oku[RelConc15]-th[VRoot]-e[VerbTerm]
chu	chu[Ideoph]
imibutho	i[NPrePre4]-mi[BPre4]-butho[NStem]
yolawulo	ya[PossConc4]-u[NPrePre11]-lu[BPre11]-lawulo[NStem]
.	.[Punc]
<LINE 2202>
Siye	si[SC1pp]-ye[AuxVStem]
saseka	si[SC1pp]-a[Past]-sek[VRoot]-a[VerbTerm]
indlela	i[NPrePre9]-n[BPre9]-dlela[NStem]
yonxulumano	ya[PossConc9]-u[NPrePre11]-lu[BPre11]-nxulumano[NStem]
oluphakathi	olu[RelConc11]-phakathi[Adv]
kurhulumente	ku[LocPre]-u[NPrePre1a]-rhulumente[NStem]
kumacandelo	ku[LocPre]-a[NPrePre6]-ma[BPre6]-candelo[NStem]
onke	o[QuantConc6]-nke[QuantStem]
,	,[Punc]
kwaye	kwaye[Conj]
saphucula	si[SC1pp]-a[Past]-phucul[VRoot]-a[VerbTerm]
uhlanganiso	u[NPrePre11]-hlanganiso[NStem]
ngaphakathi	nga[AdvPre]-phakathi[Adv]
naphakathi	na[AdvPre]-phakathi[Adv]
kwawo	kwa[PossConc15]-wo[PronStem6]
.	.[Punc]
<LINE 2203>
Ngokwenene	nga[AdvPre]-okwa[AdvPre]-i[NPrePre9]-nene[NStem]
,	,[Punc]
urhulumente	u[NPrePre1a]-rhulumente[NStem]
makazingce	ma[ImpPre]-ka[SC1]-zi[ReflPre]-ngc[VRoot]-e[VerbTerm]
ngokuba	nga[AdvPre]-ukuba[Conj]
siye	si[SC1pp]-ye[AuxVStem]
satshintsha	si[SC1]-a[Past]-tshintsh[VRoot]-a[VerbTerm]
ukwakheka	u[NPrePre15]-ku[BPre15]-akh[VRoot]-ek[NeutExt]-a[VerbTerm]
kwenkonzo	kwa[PossConc15]-i[NPrePre9]-n[BPre9]-khonzo[NStem]
karhulumente	ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
ukuba	ukuba[Conj]
mayibandakanye	ma[ImpPre]-i[SC9]-bandakany[VRoot]-e[VerbTerm]
lonke	lo[QuantConc11]-nke[QuantStem]
uluntu	u[NPrePre11]-lu[BPre11]-ntu[NStem]
,	,[Punc]
nto	n[BPre9]-to[NStem]
leyo	leyo[Dem9][Pos2]
esondeleyo	e[RelConc9]-sondel[VRoot]-e[VerbTerm]-yo[RelSuf]
kubunjani	ku[LocPre]-u[NPrePre14]-bu[BPre14]-njani[NStem]
boluntu	ba[PossConc14]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
lwethu	lwa[PossConc11]-ithu[PronStem1pp]
ngenxa	ngenxa[Conj]
zonke	zo[QuantConc10]-nke[QuantStem]
.	.[Punc]
<LINE 2204>
Nakuba	na[AdvPre]-kuba[Conj]
,	,[Punc]
abasetyhini	aba[RelConc2]-s[PreLoc-s]-e[LocPre]-tyhini[Interjec]
besenza	be[SC2]-sa[ProgPre]-enz[VRoot]-a[VerbTerm]
malunga	malunga[Adv]
nama-34%	na[AdvPre]-a[NPrePre6]-ma[BPre6]-34%[Num]
azo	a[PossConc6]-zo[AbsPron8]
zonke	zo[QuantConc10]-nke[QuantStem]
izikhundla	i[NPrePre8]-zi[BPre8]-khundla[NStem]
eziphezulu	ezi[RelConc10]-phezulu[Adv]
kwinkonzo	ku[LocPre]-i[NPrePre9]-n[BPre9]-khonzo[NStem]
karhulumente	ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
,	,[Punc]
oku	oku[Dem15][Pos1]
kuyasilela	ku[SC15]-ya[Pres]-silel[VRoot]-a[VerbTerm]
kobekujoliswe	ku[LocPre]-oku[RelConc15]-be[Past]-ku[SC15]-jolis[VRoot]-w[PassExt]-e[VerbTerm]
kuko	ku[LocPre]-ko[AbsPron15]
kokulinganisa	kwa[PossConc15]-u[NPrePre15]-ku[BPre15]-linganis[VRoot]-a[VerbTerm]
ebesizibekele	e[RelConc9]-be[Past]-si[SC1pp]-zi[ReflPre]-bek[VRoot]-el[ApplExt]-e[VerbTerm]
kona	ko[AbsPron15]-na[PronSuf]
.	.[Punc]
<LINE 2205>
Kumabakala	ku[LocPre]-a[NPrePre6]-ma[BPre6]-bakala[NStem]
ezindlu	a[PossConc6]-i[NPrePre10]-zin[BPre10]-dlu[NStem]
zowiso-mthetho	za[PossConc10]-u[NPrePre11]-wiso[NStem]-m[BPre3]-thetho[NStem]
zesizwe	za[PossConc10]-i[NPrePre7]-si[BPre7]-zwe[NStem]
nezamaphondo	na[AdvPre]-ezi[RelConc8]-za[PossConc8]-a[NPrePre6]-ma[BPre6]-phondo[NStem]
,	,[Punc]
kubonakala	ku[SC15]-bon[VRoot]-akal[NeutExt]-a[VerbTerm]
ngathi	nga[Pot]-th[VRoot]-i[VerbTerm]
isizwe	i[NPrePre7]-si[BPre7]-zwe[NStem]
kulo	ku[LocPre]-lo[Dem3][Pos1]
nyaka	nyaka[NStem]
siya	si[SC1pp]-ya[Fut]
kudlula	ku[InfPre]-dlul[VRoot]-a[VerbTerm]
kuma-32%	ku[LocPre]-ma[BPre6]-32%[Num]
omgangatho	a[PossConc6]-u[NPrePre3]-m[BPre3]-gangatho[NStem]
wokumelwa	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-(i)m[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
ngabasetyhini	nga[AdvPre]-ba[PossConc2]-s[PreLoc-s]-e[LocPre]-tyhini[Interjec]
owaphunyezwa	o[RelConc3]-u[NPrePre1a]-a[Past]-phumez[VRoot]-w[PassExt]-a[VerbTerm]
ngo-2004	nga[AdvPre]-u[NPrePre3]-2004[Num]
kwaye	kwaye[Conj]
ngethemba	nga[AdvPre]-i[NPrePre5]-li[BPre5]-themba[NStem]
,	,[Punc]
nakuma-40%	na[AdvPre]-ku[LocPre]-a[NPrePre6]-ma[BPre6]-40%[Num]
aphunyezwa	a[SC6]-phumez[VRoot]-w[PassExt]-a[VerbTerm]
ngonyulo	nga[AdvPre]-u[NPrePre11]-lu[BPre11]-nyulo[NStem]
boorhulumente	ba[PossConc14]-oo[NPrePre2a]-rhulumente[NStem]
beengingqi	ba[PossConc14]-i[NPrePre10]-zin[BPre10]-gingqi[NStem]
luka-2006	lu[PossConc11]-ka[PossKA]-2006[Num]
.	.[Punc]
<LINE 2206>
Siyathemba	si[SC1pp]-ya[Pres]-themb[VRoot]-a[VerbTerm]
ukuba	ukuba[Conj]
onke	o[QuantConc6]-nke[QuantStem]
amaqela	a[NPrePre6]-ma[BPre6]-qela[NStem]
ezopolitiko	a[PossConc6]-ezi[RelConc8]-za[PossConc8]-u[NPrePre11]-lu[BPre11]-politiko[NStem]
,	,[Punc]
njengoko	njenga[AdvPre]-oko[Dem15][Pos2]
egqibezela	a[RelConc6]-gqibez[VRoot]-el[ApplExt]-a[VerbTerm]
uluhlu	u[NPrePre11]-lu[BPre11]-hlu[NStem]
lwawo	lwa[PossConc11]-wo[PronStem6]
lonyulo	lwa[PossConc11]-u[NPrePre11]-lu[BPre11]-nyulo[NStem]
,	,[Punc]
aya	a[SC6]-ya[Fut]
kufaka	ku[InfPre]-fak[VRoot]-a[VerbTerm]
isandla	i[NPrePre7]-si[BPre7]-andla[NStem]
kulo	ku[LocPre]-lo[Dem3][Pos1]
mzamo	m[BPre3]-zamo[NStem]
unesidima	u[RelConc3]-na[AdvPre]-i[NPrePre7]-si[BPre7]-dima[NStem]
kangaka	ka[AdvPre]-ngaka[RelStem]
!	![Punc]
<LINE 2207>
Nangona	nangona[Conj]
kukhona	ku[CopPre]-khona[Adv]
inkqubela	i[NPrePre9]-n[BPre9]-kqubela[NStem]
eyenziweyo	e[RelConc9]-yi[OC4]-enz[VRoot]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
,	,[Punc]
eli-0,2%	eli[RelConc5]-0,2%[Num]
,	,[Punc]
imeko	i[NPrePre9]-meko[NStem]
ayiphucukanga	a[NegExt]-yi[OC9]-phucuk[VRoot]-a[VerbTerm]-nga[NegExt]
kangako	ka[AdvPre]-ngako[RelStem]
ngokuphathelene	nga[AdvPre]-oku[RelConc15]-phathelen[VRoot]-e[VerbTerm]
nabantu	na[AdvPre]-a[NPrePre2]-ba[BPre2]-ntu[NStem]
abakhubazekileyo	aba[RelConc2]-khubaz[VRoot]-ek[NeutExt]-ile[Perf]-yo[RelSuf]
abaqeshwe	aba[RelConc2]-qesh[VRoot]-w[PassExt]-e[VerbTerm]
kurhulumente	ku[LocPre]-u[NPrePre1a]-rhulumente[NStem]
,	,[Punc]
xa	xa[Conj]
kulinganiswa	ku[BPre15]-linganis[VRoot]-w[PassExt]-a[VerbTerm]
ne-2%	na[AdvPre]-2%[Num]
ebesijolise	e[SC1]-be[Past]-si[SC1pp]-jolis[VRoot]-e[VerbTerm]
ukufikelela	u[NPrePre15]-ku[BPre15]-fikelel[VRoot]-a[VerbTerm]
kuyo	ku[LocPre]-yo[PronStem9]
.	.[Punc]
<LINE 2208>
Kuzo	ku[LocPre]-zo[AbsPron10]
zombini	zo[QuantConc10]-m[AdjPref10]-bini[AdjStem]
ezi	ezi[Dem10][Pos1]
zikhankanyiweyo	zi[SC10]-khankany[VRoot]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
icandelo	i[NPrePre5]-li[BPre5]-candelo[NStem]
labucala	la[PossConc5]-bucala[Adv]
lisasalele	li[SC5]-sa[ProgPre]-salel[VRoot]-e[VerbTerm]
emva	e[LocPre]-u[NPrePre3]-m[BPre3]-va[NStem]
kakhulu	ka[AdvPre]-khulu[AdjStem]
.	.[Punc]
<LINE 2209>
Amanyathelo	a[NPrePre6]-ma[BPre6]-nyathelo[NStem]
ahlukeneyo	a[SC6]-ahluk[VRoot]-an[RecipExt]-e[VerbTerm]-yo[RelSuf]
aye	a[SC6]-ye[AuxVStem]
athathwa	a[SC6]-thath[VRoot]-w[PassExt]-a[VerbTerm]
ukuphucula	u[NPrePre15]-ku[BPre15]-phucul[VRoot]-a[VerbTerm]
ukusebenza	u[NPrePre15]-ku[BPre15]-sebenz[VRoot]-a[VerbTerm]
kwenkonzo	kwa[PossConc15]-i[NPrePre9]-n[BPre9]-khonzo[NStem]
karhulumente	ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
,	,[Punc]
kuqukwa	ku[BPre15]-quk[VRoot]-w[PassExt]-a[VerbTerm]
nolawulo	na[AdvPre]-u[NPrePre11]-lu[BPre11]-lawulo[NStem]
lwezimali	lwa[PossConc11]-i[NPrePre10]-zi[BPre10]-mali[NStem]
,	,[Punc]
amaZiko	a[NPrePre6]-ma[BPre6]-ziko[NStem]
eeNkonzo	a[PossConc6]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
ze-Thusong	za[PossConc10]-i[NPrePre9]-Thusong[ProperName]
kunye	kunye[Conj]
nokunye	na[AdvPre]-oku[AdjPref15]-nye[AdjStem]
okuye	oku[RelConc15]-y[VRoot]-e[VerbTerm]
kwavezwa	ku[SC15]-a[Past]-vez[VRoot]-w[PassExt]-a[VerbTerm]
okutsha	oku[RelConc15]-tsh[VRoot]-a[VerbTerm]
kokufezekisa	kwa[PossConc15]-u[NPrePre15]-ku[BPre15]-fez[VRoot]-ek[NeutExt]-is[CausExt]-a[VerbTerm]
ukuhanjiswa	u[NPrePre15]-ku[BPre15]-hamb[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
kweenkonzo	kwa[PossConc15]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
,	,[Punc]
izimbizo	i[NPrePre10]-zin[BPre10]-bizo[NStem]
kunye	kunye[Conj]
,	,[Punc]
njengoko	njenga[AdvPre]-oko[Dem15][Pos2]
kusenzeka	ku[SC15]-sa[ProgPre]-enz[VRoot]-ek[NeutExt]-a[VerbTerm]
ngoku	nga[AdvPre]-oku[Dem15][Pos1]
kwiSebe	ku[LocPre]-i[NPrePre5]-li[BPre5]-sebe[NStem]
leMicimbi	la[PossConc5]-i[NPrePre4]-mi[BPre4]-cimbi[NStem]
yezeKhaya	ya[PossConc4]-ezi[RelConc8]-za[PossConc8]-e[LocPre]-khaya[NStem]
,	,[Punc]
ubunkokheli	u[NPrePre14]-bu[BPre14]-n[BPre9]-kokheli[NStem]
obuqinileyo	obu[RelConc14]-qin[VRoot]-ile[Perf]-yo[RelSuf]
.	.[Punc]
<LINE 2210>
Nakuba	na[AdvPre]-kuba[Conj]
kunjalo	ku[CopPre]-njalo[Adv]
,	,[Punc]
kuninzi	ku[CopPre]-u[NPrePre11]-lu[BPre11]-ninzi[AdjStem]
ekusafuneka	e[RelConc9]-ku[BPre15]-sa[ProgPre]-fun[VRoot]-ek[NeutExt]-a[VerbTerm]
kwenziwe	ku[OC15]-enz[VRoot]-iw[PassExt]-e[VerbTerm]
ukuze	ukuze[Conj]
kuphuculwe	ku[SC15]-phucul[VRoot]-w[PassExt]-e[VerbTerm]
umkhwa	u[NPrePre3]-m[BPre3]-khwa[NStem]
weenkonzo	wa[PossConc1]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
kunye	kunye[Conj]
noqhelwaniso	na[AdvPre]-u[NPrePre11]-lu[BPre11]-qhelwaniso[NStem]
lomsebenzi	la[PossConc5]-u[NPrePre3]-m[BPre3]-sebenzi[NStem]
kubasebenzi	ku[LocPre]-a[NPrePre2]-ba[BPre2]-sebenzi[NStem]
bakarhulumente	ba[PossConc2]-ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
ingakumbi	i[SC9]-ngakumbi[Adv]
abo	abo[Dem2][Pos2]
basebenza	ba[SC2]-sebenz[VRoot]-a[VerbTerm]
ngqo	ngqo[Ideoph]
noluntu	na[AdvPre]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
.	.[Punc]
<LINE 2211>
Njengoko	njenga[AdvPre]-oko[Dem15][Pos2]
anokuba	a[SC6]-na[AdvPre]-ukuba[Conj]
ayazi	a[SC6]-ya[Pres]-az[VRoot]-i[VerbTerm]
amaLungu	a[NPrePre6]-ma[BPre6]-lungu[NStem]
aBekekileyo	a[RelConc6]-bek[VRoot]-ek[NeutExt]-ile[Perf]-yo[RelSuf]
,	,[Punc]
urhulumente	u[NPrePre1a]-rhulumente[NStem]
wethu	wa[PossConc1]-ithu[PronStem1pp]
wenze	u[SC6]-enz[VRoot]-e[VerbTerm]
ukuba	ukuba[Conj]
umlo	u[NPrePre3]-m[BPre3]-lo[NStem]
ochasene	o[RelConc1]-chas[VRoot]-an[RecipExt]-e[VerbTerm]
norhwaphilizo	na[AdvPre]-u[NPrePre11]-lu[BPre11]-rhwaphilizo[NStem]
ibe	i[SC9]-be[VCop]
ngomnye	nga[AdvPre]-om[AdjPref1]-nye[AdjStem]
wemimandla	wa[PossConc3]-i[NPrePre4]-mi[BPre4]-mandla[NStem]
engundoqo	e[RelConc4]-ngu[CopPre]-u[NPrePre1a]-ndoqo[NStem]
ekujoliswe	e[RelConc4]-ku[OC15]-jolis[VRoot]-w[PassExt]-e[VerbTerm]
kuyo	ku[LocPre]-yo[PronStem4]
.	.[Punc]
<LINE 2212>
Oku	oku[Dem15][Pos1]
kubonakaliswa	ku[SC15]-bon[VRoot]-akal[CausExt]-is[CausExt]-w[PassExt]-a[VerbTerm]
,	,[Punc]
phakathi	phakathi[Adv]
kwezinye	kwa[PossConc15]-ezi[AdjPref10]-nye[AdjStem]
izinto	i[NPrePre10]-zin[BPre10]-to[NStem]
,	,[Punc]
kumthetho	ku[LocPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]
,	,[Punc]
imithetho	i[NPrePre4]-mi[BPre4]-thetho[NStem]
nemimiselo	na[AdvPre]-i[NPrePre4]-mi[BPre4]-miselo[NStem]
elawula	e[RelConc4]-lawul[VRoot]-a[VerbTerm]
abasebenzi	a[NPrePre2]-ba[BPre2]-sebenzi[NStem]
bakarhulumente	ba[PossConc2]-ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
kunye	kunye[Conj]
nababambi	na[AdvPre]-a[NPrePre2]-ba[BPre2]-bambi[NStem]
zi-ofisi	zi[BPre10]-ofisi[NStem]
abangosoopolitiki	aba[RelConc2]-ng[CopPre]-oo[NPrePre2a]-sopolitiki[NStem]
ngokufanayo	nga[AdvPre]-oku[RelConc15]-fan[VRoot]-a[VerbTerm]-yo[RelSuf]
,	,[Punc]
ubambiswano	u[NPrePre11]-lu[BPre11]-bambiswano[NStem]
noluntu	na[AdvPre]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
kunye	kunye[Conj]
noosomashishini	na[AdvPre]-oo[NPrePre2a]-somashishini[NStem]
,	,[Punc]
ngokunjalo	nga[AdvPre]-oku[RelConc15]-njalo[Adv]
neminxeba	na[AdvPre]-i[NPrePre4]-mi[BPre4]-nxeba[NStem]
etsalwayo	e[RelConc4]-tsal[VRoot]-w[PassExt]-a[VerbTerm]-yo[RelSuf]
kuxelwe	ku[OC15]-xel[VRoot]-w[PassExt]-e[VerbTerm]
okuchasene	oku[RelConc15]-chas[VRoot]-an[RecipExt]-e[VerbTerm]
norhwaphilizo	na[AdvPre]-u[NPrePre11]-lu[BPre11]-rhwaphilizo[NStem]
.	.[Punc]
<LINE 2213>
Kusenokwenzeka	ku[SC15]-se[ProgPre]-na[CopPre]-u[NPrePre15]-ku[BPre15]-enz[VRoot]-ek[NeutExt]-a[VerbTerm]
ukuba	ukuba[Conj]
iindlela	i[NPrePre10]-zin[BPre10]-dlela[NStem]
zokuthintela	za[PossConc10]-u[NPrePre15]-ku[BPre15]-thintel[VRoot]-a[VerbTerm]
kunye	kunye[Conj]
nokohlwayela	na[AdvPre]-u[NPrePre15]-ku[BPre15]-hlwayel[VRoot]-a[VerbTerm]
urhwaphilizo	u[NPrePre11]-lu[BPre11]-rhwaphilizo[NStem]
azikoneli	a[NegExt]-zi[SC10]-ka[ExclNeg]-onel[VRoot]-i[VerbTerm]
,	,[Punc]
kodwa	kodwa[Conj]
ngokombono	nga[AdvPre]-oko[AdvPre]-m[BPre3]-bono[NStem]
weendlela	wa[PossConc1]-i[NPrePre10]-zin[BPre10]-dlela[NStem]
zikarhulumente	zi[PossConc10]-ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
,	,[Punc]
sinokuzithuthuzela	si[SC1]-na[AdvPre]-u[NPrePre15]-ku[BPre15]-zi[OC10]-thuthuzel[VRoot]-a[VerbTerm]
ngokuba	nga[AdvPre]-ukuba[Conj]
ngaphezulu	nga[AdvPre]-phezulu[Adv]
kwama-70%	kwa[PossConc15]-a[NPrePre6]-ma[BPre6]-70%[Num]
amatyala	a[NPrePre6]-ma[BPre6]-tyala[NStem]
orhwaphilizo	a[PossConc6]-u[NPrePre11]-lu[BPre11]-rhwaphilizo[NStem]
axeliweyo	a[RelConc6]-xel[VRoot]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
kwabeendaba	ku[LocPre]-aba[RelConc2]-i[NPrePre10]-zin[BPre10]-daba[NStem]
aye	a[SC6]-ye[AuxVStem]
aziwe	a[SC6]-az[VRoot]-w[PassExt]-e[VerbTerm]
nguwonke-wonke	ng[CopPre]-u[NPrePre1a]-wo[QuantConc1]-nke[QuantStem]-wo[QuantConc1]-nke[QuantStem]
kuba	kuba[Conj]
urhulumente	u[NPrePre1a]-rhulumente[NStem]
ukubonile	u[SC1]-ku[OC15]-bon[VRoot]-ile[Perf]
okungalunganga	oku[RelConc15]-nga[NegExt]-lung[VRoot]-a[VerbTerm]-nga[NegExt]
kwaye	kwaye[Conj]
ngokwenene	nga[AdvPre]-okwa[AdvPre]-i[NPrePre9]-nene[NStem]
kukho	ku[CopPre]-kho[Adv]
into	i[NPrePre9]-n[BPre9]-to[NStem]
ayenzayo	a[RelConc6]-yi[OC9]-enz[VRoot]-a[VerbTerm]-yo[RelSuf]
ngako	nga[AdvPre]-oko[Dem15][Pos2]
.	.[Punc]
<LINE 2214>
Kwa	kwa[AdvPre]
le	le[Dem4][Pos1]
miceli-mngeni	mi[BPre4]-celi[NStem]-m[BPre3]-ngeni[NStem]
minye	mi[AdjPref4]-nye[AdjStem]
ijongene	i[SC4]-jong[VRoot]-an[RecipExt]-e[VerbTerm]
necandelo	na[AdvPre]-i[NPrePre5]-li[BPre5]-candelo[NStem]
labucala	la[PossConc5]-bucala[Adv]
.	.[Punc]
<LINE 2215>
Ekugqibeleni	e[LocPre]-u[NPrePre15]-ku[BPre15]-gqibel[VRoot]-a[VerbTerm]-ini[LocSuf]
,	,[Punc]
umceli-mngeni	u[NPrePre3]-m[BPre3]-celi[NStem]-m[BPre3]-ngeni[NStem]
ukwamalunga	u[SC3]-kwa[AdvPre]-malunga[Adv]
nomthetho	na[AdvPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]
,	,[Punc]
kuba	kuba[Conj]
umalunga	u[NPrePre3]-malunga[Adv]
nokunyanzelwa	na[AdvPre]-u[NPrePre15]-ku[BPre15]-nyanzel[VRoot]-w[PassExt]-a[VerbTerm]
kwawo	kwa[PossConc15]-wo[PronStem3]
okufanayo	oku[RelConc15]-fan[VRoot]-a[VerbTerm]-yo[RelSuf]
.	.[Punc]
<LINE 2216>
Malungu	ma[BPre6]-lungu[NStem]
aBekekileyo	a[RelConc6]-bek[VRoot]-ek[NeutExt]-ile[Perf]-yo[RelSuf]
;	;[Punc]
<LINE 2217>
Ndiqinisekile	ndi[SC1ps]-qinisek[VRoot]-ile[Perf]
ukuba	ukuba[Conj]
sonke	so[QuantConc1pp]-nke[QuantStem]
sivumile	si[SC1]-vum[VRoot]-ile[Perf]
ukuba	ukuba[Conj]
ukuphila	u[NPrePre15]-ku[BPre15]-phil[VRoot]-a[VerbTerm]
koluntu	kwa[PossConc15]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
lwethu	lwa[PossConc11]-ithu[PronStem1pp]
kuxhomekeke	ku[SC15]-xhomekek[VRoot]-e[VerbTerm]
,	,[Punc]
kakhulu	ka[AdvPre]-khulu[AdjStem]
,	,[Punc]
kwinkqubela	ku[LocPre]-i[NPrePre9]-n[BPre9]-kqubela[NStem]
esiyenzayo	e[RelConc9]-si[SC1pp]-enz[VRoot]-a[VerbTerm]-yo[RelSuf]
ekwandiseni	e[LocPre]-u[NPrePre15]-ku[BPre15]-and[VRoot]-is[CausExt]-a[VerbTerm]-ini[LocSuf]
ubutyebi	u[NPrePre14]-bu[BPre14]-tyebi[NStem]
besizwe	ba[PossConc14]-i[NPrePre7]-si[BPre7]-zwe[NStem]
kunye	kunye[Conj]
nokuqinisekisa	na[AdvPre]-u[NPrePre15]-ku[BPre15]-qinisek[VRoot]-is[CausExt]-a[VerbTerm]
ukuba	ukuba[Conj]
ubuncwane	u[NPrePre14]-bu[BPre14]-ncwane[NStem]
bokukhula	ba[PossConc14]-u[NPrePre15]-ku[BPre15]-khul[VRoot]-a[VerbTerm]
koqoqosho	kwa[PossConc15]-u[NPrePre11]-lu[BPre11]-qoqosho[NStem]
kwabelwana	ku[SC15]-ab[VRoot]-el[ApplExt]-w[PassExt]-an[RecipExt]-a[VerbTerm]
ngabo	nga[AdvPre]-bo[AbsPron2]
ngabantu	nga[AdvPre]-a[NPrePre2]-ba[BPre2]-ntu[NStem]
xa	xa[Conj]
bebonke	be[SC2]-bo[QuantConc2]-nke[QuantStem]
.	.[Punc]
<LINE 2218>
Yinto	y[CopPre]-i[NPrePre9]-n[BPre9]-to[NStem]
eqhelekileyo	e[RelConc9]-qhel[VRoot]-ek[NeutExt]-ile[Perf]-yo[RelSuf]
eyokuba	e[RelConc9]-ya[PossConc9]-ukuba[Conj]
,	,[Punc]
emva	e[LocPre]-u[NPrePre3]-m[BPre3]-va[NStem]
kokoma	kwa[PossConc15]-u[NPrePre15]-ku[BPre15]-om[VRoot]-a[VerbTerm]
kwezoqoqosho	ku[LocPre]-ezi[RelConc8]-za[PossConc8]-u[NPrePre11]-lu[BPre11]-qoqosho[NStem]
ekupheleni	e[LocPre]-u[NPrePre15]-ku[BPre15]-phel[VRoot]-a[VerbTerm]-ini[LocSuf]
koo-1980	kwa[PossConc15]-oo[NPrePre2a]-1980[Num]
